!2 Valid combinations

!|FirstLightSwitchingCrossingController             |
|first light|second light|first light?|second light?|
|green      |red         |yellow      |red          |
|yellow     |red         |red         |red          |
|red, yellow|red         |green       |red          |
|red        |red         |red, yellow |red          |

!2 Invalid combinations

!|script|FirstLightSwitchingCrossingController|

!|invalid combination     |
|firstLight   |secondLight|
|green        |red, yellow|
|green        |green      |
|green        |yellow     |
|yellow       |red, yellow|
|yellow       |green      |
|yellow       |yellow     |
|red, yellow  |red, yellow|
|red, yellow  |green      |
|red, yellow  |yellow     |
|red          |red, yellow|
|red          |green      |
|red          |yellow     |
|yellow blink |red        |
|yellow blink |red, yellow|
|yellow blink |green      |
|yellow blink |yellow     |
